epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14076.2,0.74698,0.68914,1.01995,0.87276,0.72788,0.81411,0.66795,0.77157,0.91685,1.05362,0.000848969,0.000848969,0.000848969
43,14413.6,0.73483,0.63825,1.00875,0.92273,0.72583,0.81468,0.65263,0.76945,0.90356,1.0846,0.000834822,0.000834822,0.000834822
44,14750.8,0.75358,0.65904,1.01882,0.87096,0.71986,0.81549,0.65925,0.78265,0.95597,1.07396,0.000820675,0.000820675,0.000820675
45,15088.1,0.77774,0.66826,1.01901,0.89398,0.69967,0.79154,0.61639,0.83657,0.97393,1.10785,0.000806528,0.000806528,0.000806528
46,15434.1,0.77399,0.64958,1.01746,0.90464,0.74034,0.83764,0.66272,0.78902,0.86644,1.06658,0.00079238,0.00079238,0.00079238
47,15766.2,0.75432,0.63993,1.01158,0.92638,0.70319,0.82497,0.68245,0.75014,0.87385,1.04484,0.000778233,0.000778233,0.000778233
48,16090.8,0.73787,0.6398,1.02701,0.86797,0.70971,0.82004,0.66546,0.77128,0.94939,1.05177,0.000764086,0.000764086,0.000764086
49,16426.2,0.71666,0.63466,1.01034,0.89728,0.70252,0.80722,0.64182,0.7921,0.88452,1.0741,0.000749939,0.000749939,0.000749939
50,16755.7,0.71942,0.61953,0.98897,0.90984,0.70607,0.82368,0.64755,0.80749,0.86846,1.06768,0.000735792,0.000735792,0.000735792
51,17089.8,0.7129,0.59487,0.99668,0.89122,0.73949,0.83553,0.66081,0.77823,0.83554,1.072,0.000721645,0.000721645,0.000721645
52,17416.8,0.71778,0.59317,0.99927,0.86702,0.74779,0.8311,0.6797,0.73755,0.84791,1.03811,0.000707498,0.000707498,0.000707498
53,17744.9,0.72837,0.60418,1.00844,0.89946,0.7268,0.81124,0.67566,0.75161,0.92063,1.04772,0.000693351,0.000693351,0.000693351
54,18087.2,0.72601,0.56711,0.98873,0.89648,0.73165,0.82369,0.66757,0.75983,0.86241,1.05497,0.000679204,0.000679204,0.000679204
55,18427.8,0.76008,0.60199,1.01016,0.87421,0.75131,0.83245,0.67364,0.77543,0.85584,1.06858,0.000665057,0.000665057,0.000665057
56,18763.9,0.70295,0.58622,0.98794,0.8938,0.73467,0.81683,0.67001,0.75572,0.87293,1.06076,0.000650909,0.000650909,0.000650909
57,19098.3,0.69363,0.57163,1.00183,0.87532,0.7227,0.83046,0.66459,0.80345,0.92605,1.07279,0.000636762,0.000636762,0.000636762
